线路名,起点,终点,运营日期,首班车时间,末班车时间,票价,折扣方式,具体站点信息
67路,无影山,李家塘,发车时间,6:00,19:00,3元,济南公交刷卡、支付宝八折优惠,站点详情
67路,李家塘,无影山,发车时间,5:30,19:00,3元,济南公交刷卡、支付宝八折优惠,站点详情
B68路,动物园,环山小区,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B68路,环山小区,动物园,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K69路,黄台家居广场,无影山,发车时间,6:00,20:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K69路,无影山,黄台家居广场,发车时间,6:35,21:05,2元,济南公交刷卡、支付宝八折优惠,站点详情
B70路,盖家沟,银座商城,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B70路,银座商城,盖家沟,发车时间,6:40,21:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
B71路,孟家,地铁张马屯站,发车时间,5:30,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B71路,地铁张马屯站,孟家,发车时间,6:10,21:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K72路,清雅居,泉城广场,发车时间,5:45,20:50,2元,济南公交刷卡、支付宝八折优惠,站点详情
K72路,泉城广场,清雅居,发车时间,6:00,21:55,2元,济南公交刷卡、支付宝八折优惠,站点详情
K73路,龙奥公交枢纽,历城区委党校,发车时间,6:30,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K73路,历城区委党校,龙奥公交枢纽,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K73路支,龙奥公交枢纽,捎近村,发车时间,17:10,18:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K73路支,捎近村,龙奥公交枢纽,发车时间,5:55,5:55,2元,济南公交刷卡、支付宝八折优惠,站点详情
K73支线2,龙奥公交枢纽,黄路泉村,发车时间,16:30,16:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K73支线2,黄路泉村,龙奥公交枢纽,发车时间,5:55,5:55,2元,济南公交刷卡、支付宝八折优惠,站点详情
K74路,省建筑机械厂,华联商厦,发车时间,5:50,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K74路,华联商厦,省建筑机械厂,发车时间,6:00,21:45,2元,济南公交刷卡、支付宝八折优惠,站点详情
K75路,华山珑城公交车场,新世界商城,发车时间,5:30,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K75路,新世界商城,华山珑城公交车场,发车时间,6:15,22:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
B76路,舜耕路玉函小区北路,张庄路段兴西路,发车时间,6:00,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B76路,张庄路段兴西路,舜耕路玉函小区北路,发车时间,6:00,21:20,2元,济南公交刷卡、支付宝八折优惠,站点详情
K77路,方特东方神画,八里桥,发车时间,5:50,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K77路,八里桥,方特东方神画,发车时间,6:00,21:35,2元,济南公交刷卡、支付宝八折优惠,站点详情
K78路,朱庄,站前路南口,发车时间,5:20,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K78路,站前路南口,朱庄,发车时间,6:00,21:35,2元,济南公交刷卡、支付宝八折优惠,站点详情
B79路,盖家沟,环山小区,发车时间,6:00,22:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
B79路,环山小区,盖家沟,发车时间,6:00,22:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
K80路,公交祝甸车场,泉城广场,发车时间,6:00,21:30,2元,济南公交刷卡、支付宝八折优惠,站点详情
K80路,泉城广场,公交祝甸车场,发车时间,6:00,22:05,2元,济南公交刷卡、支付宝八折优惠,站点详情
K81路,陆军学院南门,经五纬一,发车时间,5:40,21:00,2元,济南公交刷卡、支付宝八折优惠,站点详情
K81路,经五纬一,陆军学院南门,发车时间,6:00,21:40,2元,济南公交刷卡、支付宝八折优惠,站点详情
